                                         unitsBuild  unitsLowerLimit  unitsUpperLimit  noExpansion
CI_data . 2030 . Aviation                       NaN         0.000000      1000.000000          NaN
CI_data . 2030 . Bus                            NaN         0.000000      1000.000000          NaN
CI_data . 2030 . DG                             NaN         0.018000         0.018000          NaN
CI_data . 2030 . DW_Electric_converter          NaN         0.000000      1000.000000          NaN
CI_data . 2030 . DW_LPG_converter               NaN         0.000000      1000.000000          NaN
CI_data . 2030 . HDV                            NaN         0.000000      1000.000000          NaN
CI_data . 2030 . Industry                       NaN         0.000000      1000.000000          NaN
CI_data . 2030 . LDV                            NaN         0.000000      1000.000000          NaN
CI_data . 2030 . MDV                            NaN         0.000000      1000.000000          NaN
CI_data . 2030 . Marine                         NaN         0.000000      1000.000000          NaN
CI_data . 2030 . PV_B                           NaN         0.005200         0.005200          NaN
CI_data . 2030 . Two_wheel                      NaN         0.000000      1000.000000          NaN
CI_data . 2030 . cook                           NaN         0.000000      1000.000000          NaN
FJ_data . 2030 . Aviation                       NaN         0.000000      1000.000000          NaN
FJ_data . 2030 . BG_B                           NaN         0.058000         0.058000          NaN
FJ_data . 2030 . Bus                            NaN         0.000000      1000.000000          NaN
FJ_data . 2030 . DG                             NaN         0.172000         0.172000          NaN
FJ_data . 2030 . DW_Electric_converter          NaN         0.000000      1000.000000          NaN
FJ_data . 2030 . DW_LPG_converter               NaN         0.000000      1000.000000          NaN
FJ_data . 2030 . HDV                            NaN         0.000000      1000.000000          NaN
FJ_data . 2030 . Hydro_B                        NaN         0.062500         0.062500          NaN
FJ_data . 2030 . Industry                       NaN         0.000000      1000.000000          NaN
FJ_data . 2030 . LDV                            NaN         0.000000      1000.000000          NaN
FJ_data . 2030 . MDV                            NaN         0.000000      1000.000000          NaN
FJ_data . 2030 . Marine                         NaN         0.000000      1000.000000          NaN
FJ_data . 2030 . PV_B                           NaN         0.009000         0.009000          NaN
FJ_data . 2030 . Two_wheel                      NaN         0.000000      1000.000000          NaN
FJ_data . 2030 . cook                           NaN         0.000000      1000.000000          NaN
FSM_data . 2030 . Aviation                      NaN         0.000000      1000.000000          NaN
FSM_data . 2030 . Bus                           NaN         0.000000      1000.000000          NaN
FSM_data . 2030 . DG                            NaN         0.038800         0.038800          NaN
FSM_data . 2030 . DW_Electric_converter         NaN         0.000000      1000.000000          NaN
FSM_data . 2030 . DW_LPG_converter              NaN         0.000000      1000.000000          NaN
FSM_data . 2030 . HDV                           NaN         0.000000      1000.000000          NaN
FSM_data . 2030 . Hydro_B                       NaN         0.000225         0.000225          NaN
FSM_data . 2030 . Industry                      NaN         0.000000      1000.000000          NaN
FSM_data . 2030 . LDV                           NaN         0.000000      1000.000000          NaN
FSM_data . 2030 . MDV                           NaN         0.000000      1000.000000          NaN
FSM_data . 2030 . Marine                        NaN         0.000000      1000.000000          NaN
FSM_data . 2030 . PV_B                          NaN         0.002800         0.002800          NaN
FSM_data . 2030 . Two_wheel                     NaN         0.000000      1000.000000          NaN
FSM_data . 2030 . WindOnshore_B                 NaN         0.000900         0.000900          NaN
FSM_data . 2030 . cook                          NaN         0.000000      1000.000000          NaN
KB_data . 2030 . Aviation                       NaN         0.000000      1000.000000          NaN
KB_data . 2030 . Bus                            NaN         0.000000      1000.000000          NaN
KB_data . 2030 . DG                             NaN         0.006600         0.006600          NaN
KB_data . 2030 . DW_Electric_converter          NaN         0.000000      1000.000000          NaN
KB_data . 2030 . DW_LPG_converter               NaN         0.000000      1000.000000          NaN
KB_data . 2030 . HDV                            NaN         0.000000      1000.000000          NaN
KB_data . 2030 . Industry                       NaN         0.000000      1000.000000          NaN
KB_data . 2030 . LDV                            NaN         0.000000      1000.000000          NaN
KB_data . 2030 . MDV                            NaN         0.000000      1000.000000          NaN
KB_data . 2030 . Marine                         NaN         0.000000      1000.000000          NaN
KB_data . 2030 . PV_B                           NaN         0.003000         0.003000          NaN
KB_data . 2030 . Two_wheel                      NaN         0.000000      1000.000000          NaN
KB_data . 2030 . cook                           NaN         0.000000      1000.000000          NaN
MI_data . 2030 . Aviation                       NaN         0.000000      1000.000000          NaN
