                                         fixed  lower      upper
CI_data . 2030 . Emission . CO2            NaN   -inf        NaN
CI_data . 2030 . FuelImport . Biomass      NaN    0.0       12.0
CI_data . 2030 . FuelImport . Diesel       NaN    0.0  1000000.0
CI_data . 2030 . FuelImport . Gasoline     NaN    0.0  1000000.0
CI_data . 2030 . FuelImport . JetA1        NaN    0.0  1000000.0
CI_data . 2030 . FuelImport . LPG          NaN    0.0  1000000.0
CI_data . 2030 . FuelImport . MDO          NaN    0.0  1000000.0
CI_data . 2030 . FuelImport . NG           NaN    0.0  1000000.0
FJ_data . 2030 . Emission . CO2            NaN   -inf        NaN
FJ_data . 2030 . FuelImport . Biomass      NaN    0.0     2380.0
FJ_data . 2030 . FuelImport . Diesel       NaN    0.0  1000000.0
FJ_data . 2030 . FuelImport . Gasoline     NaN    0.0  1000000.0
FJ_data . 2030 . FuelImport . JetA1        NaN    0.0  1000000.0
FJ_data . 2030 . FuelImport . LPG          NaN    0.0  1000000.0
FJ_data . 2030 . FuelImport . MDO          NaN    0.0  1000000.0
FJ_data . 2030 . FuelImport . NG           NaN    0.0  1000000.0
FSM_data . 2030 . Emission . CO2           NaN   -inf        NaN
FSM_data . 2030 . FuelImport . Biomass     NaN    0.0      168.0
FSM_data . 2030 . FuelImport . Diesel      NaN    0.0  1000000.0
FSM_data . 2030 . FuelImport . Gasoline    NaN    0.0  1000000.0
FSM_data . 2030 . FuelImport . JetA1       NaN    0.0  1000000.0
FSM_data . 2030 . FuelImport . LPG         NaN    0.0  1000000.0
FSM_data . 2030 . FuelImport . MDO         NaN    0.0  1000000.0
FSM_data . 2030 . FuelImport . NG          NaN    0.0  1000000.0
KB_data . 2030 . Emission . CO2            NaN   -inf        NaN
KB_data . 2030 . FuelImport . Biomass      NaN    0.0      221.0
KB_data . 2030 . FuelImport . Diesel       NaN    0.0  1000000.0
KB_data . 2030 . FuelImport . Gasoline     NaN    0.0  1000000.0
KB_data . 2030 . FuelImport . JetA1        NaN    0.0  1000000.0
KB_data . 2030 . FuelImport . LPG          NaN    0.0  1000000.0
KB_data . 2030 . FuelImport . MDO          NaN    0.0  1000000.0
KB_data . 2030 . FuelImport . NG           NaN    0.0  1000000.0
MI_data . 2030 . Emission . CO2            NaN   -inf        NaN
MI_data . 2030 . FuelImport . Biomass      NaN    0.0       22.0
MI_data . 2030 . FuelImport . Diesel       NaN    0.0  1000000.0
MI_data . 2030 . FuelImport . Gasoline     NaN    0.0  1000000.0
MI_data . 2030 . FuelImport . JetA1        NaN    0.0  1000000.0
MI_data . 2030 . FuelImport . LPG          NaN    0.0  1000000.0
MI_data . 2030 . FuelImport . MDO          NaN    0.0  1000000.0
MI_data . 2030 . FuelImport . NG           NaN    0.0  1000000.0
NE_data . 2030 . Emission . CO2            NaN   -inf        NaN
NE_data . 2030 . FuelImport . Biomass      NaN    0.0        5.0
NE_data . 2030 . FuelImport . Diesel       NaN    0.0  1000000.0
NE_data . 2030 . FuelImport . Gasoline     NaN    0.0  1000000.0
NE_data . 2030 . FuelImport . JetA1        NaN    0.0  1000000.0
NE_data . 2030 . FuelImport . LPG          NaN    0.0  1000000.0
NE_data . 2030 . FuelImport . MDO          NaN    0.0  1000000.0
NE_data . 2030 . FuelImport . NG           NaN    0.0  1000000.0
NU_data . 2030 . Emission . CO2            NaN   -inf        NaN
NU_data . 2030 . FuelImport . Biomass      NaN    0.0        4.0
NU_data . 2030 . FuelImport . Diesel       NaN    0.0   100000.0
NU_data . 2030 . FuelImport . Gasoline     NaN    0.0   100000.0
NU_data . 2030 . FuelImport . JetA1        NaN    0.0   100000.0
