,demand_R1,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,demand_R2
t0001,9.417366,0,1052.885,0,1052.885,222.1756876,5000,38302
t0002,9.143836,0,1192.466,0,1192.466,224.0367979,4735.583496,37458
t0003,8.902816,0,842.7831,0,842.7831,225.8978933,5000,36549
t0004,8.76915,0,139.1021,0,139.1021,227.7590036,5000,34928
t0005,8.71668,0,305.2036,0,305.2036,230.6461781,4958.716309,34569
t0006,8.587329,0,2791.599,0,2791.599,233.5333526,4131.688477,33683
t0007,8.186111,161.1183,4183.356,161.1183,4183.356,236.4205271,3407.134277,32503
t0008,8.161539,752.2271,4500,752.2271,4500,238.8005108,3303.232666,32606
t0009,8.376265,1726.702,4500,1726.702,4500,241.1102951,3307.498779,32876
t0010,8.3708,1763.821,4500,1763.821,4500,243.4200943,2565.934814,35018
t0011,8.090064,1940.878,4500,1940.878,4500,244.8214591,1250.446289,37055
t0012,8.04368,3446.811,0,3446.811,0,247.3633289,1801.381348,38867
t0013,7.983992,2721.721,4500,2721.721,4500,250.2475679,1739.592529,40702
t0014,8.433253,2795.329,4500,2795.329,4500,254.6443939,1518.844849,39937
t0015,9.683063,2047.738,4500,2047.738,4500,259.0412498,1041.198486,39241
t0016,9.236938,1807.513,4500,1807.513,4500,263.4380758,636.9984131,39192
t0017,9.611742,1558.292,4500,1558.292,4500,266.6455507,519.0288086,41160
t0018,9.747812,1091.615,4500,1091.615,4500,269.8530555,1052.179443,44530
t0019,9.830592,310.2496,3531.271,310.2496,3531.271,273.0605304,1199.258301,44079
t0020,11.05303,0,1521.197,0,1521.197,274.2506862,1111.391846,43211
t0021,8.967811,0,4500,0,4500,275.4408717,798.7510376,41519
t0022,10.48036,0,4500,0,4500,276.6310275,830.9631958,40023
t0023,11.17207,0,3757.269,0,3757.269,278.0397534,796.7907104,43413
t0024,10.12531,0,4500,0,4500,279.4484496,427.074646,41801
t0025,9.324312,0,4500,0,4500,280.8571756,344.3335571,39984
t0026,8.874883,0,4279.085,0,4279.085,281.6754282,236.4260864,39187
t0027,8.622339,0,4500,0,4500,282.4936509,107.6224442,38624
t0028,8.483662,0,4500,0,4500,283.3119035,0,38469
t0029,8.50567,0,4451.237,0,4451.237,285.259366,0,38399
t0030,8.475522,0,4500,0,4500,287.234664,45.42189789,39639
t0031,8.1604,60.40992,4500,60.40992,4500,289.3529832,61.01488495,41387
t0032,8.179234,816.0871,4500,816.0871,4500,289.9730504,142.7953949,43822
t0033,8.116325,1896.853,4500,1896.853,4500,290.5931473,171.1725464,47049
t0034,7.870704,2707.161,4380.649,2707.161,4380.649,291.2132144,180.71492,49477
t0035,7.48778,2890.1,4500,2890.1,4500,288.631618,704.4368896,51265
t0036,7.551624,2715.934,4490.993,2715.934,4490.993,286.3432765,663.2012939,52515
t0037,7.329122,2514.68,1832.042,2514.68,1832.042,284.054935,616.2185669,52601
t0038,7.373858,3647.217,2900.489,3647.217,2900.489,282.288909,722.796875,52209
t0039,7.905013,3112.743,2956.773,3112.743,2956.773,280.4057896,829.7728882,51315
t0040,8.577021,3081.285,4500,3081.285,4500,278.5226703,629.9329834,50193
t0041,8.767796,1843.995,4500,1843.995,4500,277.9504657,613.0014648,51173
t0042,8.845763,1168.856,4500,1168.856,4500,277.3782313,871.2628174,53301
t0043,9.092155,313.4597,4500,313.4597,4500,276.7825425,1187.063477,53530
t0044,9.901639,0,0,0,0,278.2386243,1539.562988,51538
t0045,11.13,0,4500,0,4500,279.694736,1830.175659,49399
t0046,10.95179,0,4500,0,4500,281.1508179,2175.857666,47949
t0047,10.26727,0,4500,0,4500,279.2567015,2719.827881,47332
t0048,9.592024,0,4500,0,4500,277.3625851,2832.890137,43142
t0049,9.271223,0,1309.867,0,1309.867,275.4684687,2079.696289,40062
t0050,8.983508,0,3694.489,0,3694.489,274.3524611,1593.549927,38523
