,demand_R1,PV_B_R1,WindOnshore_B_R1,PV_N_R1,WindOnshore_N_R1,Wave_N_R1,WindOffshore_N_R1,demand_R2,PV_B_R2,WindOnshore_B_R2,PV_N_R2,WindOnshore_N_R2,Wave_N_R2,WindOffshore_N_R2,demand_R3,PV_B_R3,WindOnshore_B_R3,PV_N_R3,WindOnshore_N_R3,Wave_N_R3,WindOffshore_N_R3,demand_R4,PV_B_R4,WindOnshore_B_R4,PV_N_R4,WindOnshore_N_R4,Wave_N_R4,WindOffshore_N_R4
t0001,9.417366,0,1052.885,0,1052.885,222.1756876,5000,9.417366,0,1052.885,0,1052.885,222.1756876,5000,9.417366,0,1052.885,0,1052.885,222.1756876,5000,9.417366,0,1052.885,0,1052.885,222.1756876,5000
t0002,9.143836,0,1192.466,0,1192.466,224.0367979,4735.583496,9.143836,0,1192.466,0,1192.466,224.0367979,4735.583496,9.143836,0,1192.466,0,1192.466,224.0367979,4735.583496,9.143836,0,1192.466,0,1192.466,224.0367979,4735.583496
t0003,8.902816,0,842.7831,0,842.7831,225.8978933,5000,8.902816,0,842.7831,0,842.7831,225.8978933,5000,8.902816,0,842.7831,0,842.7831,225.8978933,5000,8.902816,0,842.7831,0,842.7831,225.8978933,5000
t0004,8.76915,0,139.1021,0,139.1021,227.7590036,5000,8.76915,0,139.1021,0,139.1021,227.7590036,5000,8.76915,0,139.1021,0,139.1021,227.7590036,5000,8.76915,0,139.1021,0,139.1021,227.7590036,5000
t0005,8.71668,0,305.2036,0,305.2036,230.6461781,4958.716309,8.71668,0,305.2036,0,305.2036,230.6461781,4958.716309,8.71668,0,305.2036,0,305.2036,230.6461781,4958.716309,8.71668,0,305.2036,0,305.2036,230.6461781,4958.716309
t0006,8.587329,0,2791.599,0,2791.599,233.5333526,4131.688477,8.587329,0,2791.599,0,2791.599,233.5333526,4131.688477,8.587329,0,2791.599,0,2791.599,233.5333526,4131.688477,8.587329,0,2791.599,0,2791.599,233.5333526,4131.688477
t0007,8.186111,161.1183,4183.356,161.1183,4183.356,236.4205271,3407.134277,8.186111,161.1183,4183.356,161.1183,4183.356,236.4205271,3407.134277,8.186111,161.1183,4183.356,161.1183,4183.356,236.4205271,3407.134277,8.186111,161.1183,4183.356,161.1183,4183.356,236.4205271,3407.134277
t0008,8.161539,752.2271,4500,752.2271,4500,238.8005108,3303.232666,8.161539,752.2271,4500,752.2271,4500,238.8005108,3303.232666,8.161539,752.2271,4500,752.2271,4500,238.8005108,3303.232666,8.161539,752.2271,4500,752.2271,4500,238.8005108,3303.232666
t0009,8.376265,1726.702,4500,1726.702,4500,241.1102951,3307.498779,8.376265,1726.702,4500,1726.702,4500,241.1102951,3307.498779,8.376265,1726.702,4500,1726.702,4500,241.1102951,3307.498779,8.376265,1726.702,4500,1726.702,4500,241.1102951,3307.498779
t0010,8.3708,1763.821,4500,1763.821,4500,243.4200943,2565.934814,8.3708,1763.821,4500,1763.821,4500,243.4200943,2565.934814,8.3708,1763.821,4500,1763.821,4500,243.4200943,2565.934814,8.3708,1763.821,4500,1763.821,4500,243.4200943,2565.934814
