,demand_PNG,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,Hydro_B,Geothermal_B
t0001,605.3212,0,0,0,0,0.197145596,3180.443848,115000,10958.9
t0002,590.1531,0,0,0,0,0.216044798,2621.440918,115000,10958.9
t0003,582.1316,0,0,0,0,0.234977663,2413.220459,115000,10958.9
t0004,572.9157,0,0,0,0,0.253936321,2647.641357,115000,10958.9
t0005,566.9521,0,0,0,0,0.269672841,2238.204834,115000,10958.9
t0006,567.4522,0,0,0,0,0.286542654,1536.578491,115000,10958.9
t0007,536.8716,135985.2,0,135985.2,0,0.303412467,630.8668823,115000,10958.9
t0008,558.7099,415801.8,91.92804,415801.8,91.92804,0.308570653,255.170639,115000,10958.9
t0009,596.2273,783977.9,62.04709,783977.9,62.04709,0.313728869,293.4530334,115000,10958.9
t0010,635.1733,574249.5,133.7211,574249.5,133.7211,0.318096101,420.8399658,115000,10958.9
t0011,625.1258,572419.8,263.5052,572419.8,263.5052,0.327009201,121.5074234,115000,10958.9
t0012,606.7066,1117406,410.3649,1117406,410.3649,0.335922301,154.7749634,115000,10958.9
t0013,577.6777,756875.6,161.4746,756875.6,161.4746,0.344835401,131.3165436,115000,10958.9
t0014,578.1956,732064.9,99.00501,732064.9,99.00501,0.346999526,107.369751,115000,10958.9
t0015,597.5258,451814.5,62.0246,451814.5,62.0246,0.349163622,86.91073608,115000,10958.9
t0016,614.874,350761.9,103.2846,350761.9,103.2846,0.351327747,116.1207047,115000,10958.9
t0017,629.4298,257026.6,102.6139,257026.6,102.6139,0.350915521,106.0641251,115000,10958.9
t0018,618.6309,89045.06,96.83675,89045.06,96.83675,0.350503266,73.56224823,115000,10958.9
t0019,621.6759,0,0,0,0,0.35009104,116.9033127,115000,10958.9
t0020,696.6766,0,0,0,0,0.353586406,155.7084808,115000,10958.9
t0021,759.7604,0,52.70431,0,52.70431,0.357081801,213.4018402,115000,10958.9
t0022,721.8661,0,81.36983,0,81.36983,0.360577166,219.7414551,115000,10958.9
t0023,674.1191,0,0,0,0,0.357940704,235.7979126,115000,10958.9
t0024,629.3202,0,71.73534,0,71.73534,0.355304241,280.6251831,115000,10958.9
t0025,586.9398,0,48.20693,0,48.20693,0.352667809,182.0511017,115000,10958.9
t0026,571.1604,0,0,0,0,0.339684218,70.90323639,115000,10958.9
t0027,556.3344,0,85.40975,0,85.40975,0.326700598,0,115000,10958.9
t0028,540.5728,0,55.46933,0,55.46933,0.313789994,0,115000,10958.9
t0029,535.1617,0,38.73123,0,38.73123,0.29801473,75.27813721,115000,10958.9
t0030,535.2835,0,116.7798,0,116.7798,0.282239437,0,115000,10958.9
t0031,513.9426,217701.3,69.71137,217701.3,69.71137,0.266464174,0,115000,10958.9
t0032,538.5514,557730.4,177.2058,557730.4,177.2058,0.25145641,0,115000,10958.9
t0033,602.7705,926582.8,55.10294,926582.8,55.10294,0.237585992,0,115000,10958.9
t0034,626.0478,1140683,35.4277,1140683,35.4277,0.224369392,0,115000,10958.9
t0035,637.7981,1063863,49.92348,1063863,49.92348,0.21456933,0,115000,10958.9
t0036,602.6689,887234.4,40.59185,887234.4,40.59185,0.204980955,0,115000,10958.9
